Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency
Mika,POR,Goalkeeper,Moreirense,,1991,1,0,14,0,0,0,0,0,0,0,0,0.0,4,7,10,1,2,3,1,0,0,0.0
Mike Hauptmeijer,NED,Goalkeeper,Zwolle,,1997,2,2,180,3,11,8,0,1,1,0,0,3.9,8,33,77,15,22,36,5,6,0,0.8999999999999999
Mio Backhaus,GER,Goalkeeper,Volendam,,2004,33,32,2881,79,253,174,2,1,1,0,0,77.4,237,713,1109,164,288,513,40,40,0,-1.5999999999999943
Mirko Pigliacelli,ITA,Goalkeeper,Palermo,,1993,36,36,3240,51,153,102,9,3,2,1,0,45.3,174,410,1123,117,212,574,26,42,1,-5.700000000000003
Moisés Ramírez,ECU,Goalkeeper,ec Independiente,,2000,5,5,450,7,11,4,1,0,0,0,0,5.5,14,30,122,13,26,48,1,6,0,-1.5
Mosquito,BRA,Goalkeeper,Arouca,,1996,2,2,180,5,7,3,0,0,0,0,0,3.3,11,25,94,5,13,25,1,6,0,-1.7000000000000002
Mouhamadou Sarr,SEN,Goalkeeper,Cremonese,,1997,12,12,1080,12,45,33,3,2,1,1,0,11.5,35,109,289,78,59,178,21,2,1,-0.5
Muriel Becker,BRA,Goalkeeper,Vitória,,1987,1,1,90,0,2,2,1,0,0,0,0,0.6,11,21,20,2,10,19,1,0,0,0.6
Mycael,BRA,Goalkeeper,Ath Paranaense,,2004,19,17,1565,21,83,60,4,2,0,2,0,23.5,84,218,273,55,131,250,4,5,2,2.5
Nahuel Guzmán,ARG,Goalkeeper,UANL,,1986,24,24,2160,27,101,76,7,2,2,0,0,25.8,124,288,880,111,159,293,27,45,0,-1.1999999999999993
Nahuel Losada,ARG,Goalkeeper,Belgrano,,1993,22,22,1980,26,101,77,9,3,3,0,0,28.8,98,281,535,131,175,361,22,26,0,2.8
